Course_Name,Course_ID,Attempt_ID,Candidate_Name,Candidate_Email,Mark,Grade,Skill_Status,Recommended_Course,Previous_Mark,Mark_Change,Improvement_Status,Performance_Category
Python,C101,1,Aishwarya 18,aishwarya18@gmail.com,34,F,Weakness,Python Basics and Problem Solving,,,First Attempt,Poor Performer
SQL,C102,1,Aishwarya 18,aishwarya18@gmail.com,32,F,Weakness,SQL Fundamentals and Query Practice,,,First Attempt,Poor Performer
SQL,C102,2,Aishwarya 18,aishwarya18@gmail.com,34,F,Weakness,SQL Fundamentals and Query Practice,32.0,2.0,Improving,Poor Performer
Java,C103,1,Aishwarya 18,aishwarya18@gmail.com,29,F,Weakness,Java Programming Basics,,,First Attempt,Poor Performer
Python,C101,1,Aishwarya 68,aishwarya68@gmail.com,92,A,Strength,No Course Required,,,First Attempt,High Performer
SQL,C102,1,Aishwarya 68,aishwarya68@gmail.com,48,D,Weakness,SQL Fundamentals and Query Practice,,,First Attempt,Poor Performer
SQL,C102,2,Aishwarya 68,aishwarya68@gmail.com,49,D,Weakness,SQL Fundamentals and Query Practice,48.0,1.0,Improving,Poor Performer
Java,C103,1,Aishwarya 68,aishwarya68@gmail.com,86,A,Strength,No Course Required,,,First Attempt,High Performer
Python,C101,1,Ajay 11,ajay11@gmail.com,79,B,Strength,No Course Required,,,First Attempt,Medium Performer
Python,C101,2,Ajay 11,ajay11@gmail.com,93,A,Strength,No Course Required,79.0,14.0,Improving,High Performer
Aptitude,C104,1,Ajay 11,ajay11@gmail.com,84,A,Strength,No Course Required,,,First Attempt,High Performer
Aptitude,C104,2,Ajay 11,ajay11@gmail.com,95,A,Strength,No Course Required,84.0,11.0,Improving,High Performer
Data Analytics,C105,1,Ajay 11,ajay11@gmail.com,73,B,Strength,No Course Required,,,First Attempt,Medium Performer
Python,C101,1,Ajay 61,ajay61@gmail.com,87,A,Strength,No Course Required,,,First Attempt,High Performer
Python,C101,2,Ajay 61,ajay61@gmail.com,85,A,Strength,No Course Required,87.0,-2.0,Declining,High Performer
Java,C103,1,Ajay 61,ajay61@gmail.com,71,B,Strength,No Course Required,,,First Attempt,Medium Performer
Data Analytics,C105,1,Ajay 61,ajay61@gmail.com,83,A,Strength,No Course Required,,,First Attempt,High Performer
Data Analytics,C105,2,Ajay 61,ajay61@gmail.com,100,A,Strength,No Course Required,83.0,17.0,Improving,High Performer
Python,C101,1,Akash 23,akash23@gmail.com,87,A,Strength,No Course Required,,,First Attempt,High Performer
Aptitude,C104,1,Akash 23,akash23@gmail.com,46,D,Weakness,Quantitative Aptitude Practice,,,First Attempt,Poor Performer
Aptitude,C104,2,Akash 23,akash23@gmail.com,53,C,Average,No Course Required,46.0,7.0,Improving,Medium Performer
Aptitude,C104,3,Akash 23,akash23@gmail.com,36,F,Weakness,Quantitative Aptitude Practice,53.0,-17.0,Declining,Poor Performer
Data Analytics,C105,1,Akash 23,akash23@gmail.com,76,B,Strength,No Course Required,,,First Attempt,Medium Performer
SQL,C102,1,Akash 73,akash73@gmail.com,37,F,Weakness,SQL Fundamentals and Query Practice,,,First Attempt,Poor Performer
SQL,C102,2,Akash 73,akash73@gmail.com,38,F,Weakness,SQL Fundamentals and Query Practice,37.0,1.0,Improving,Poor Performer
Aptitude,C104,1,Akash 73,akash73@gmail.com,79,B,Strength,No Course Required,,,First Attempt,Medium Performer
Data Analytics,C105,1,Akash 73,akash73@gmail.com,32,F,Weakness,Data Analytics Fundamentals,,,First Attempt,Poor Performer
